sender,message,conversation_history,receiver
1,Dank voor die verheldering. Dan heeft u nog een interruptie van mevrouw Tseggai.,"Sender: de heer Krul, message: Dan wil ik toch even benoemen dat dit ook de groep is die we dan wel weer gaan confronteren met een extra financiële prikkel. Gezien de discussies die we in het commissiedebat gevoerd hebben over alle gevolgen, triggers en invloedpunten voor het mentale welzijn, vind ik het toch opmerkelijk dat mevrouw Hertzberger nu een sympathiek voorstel doet met als doel om studenten weer terug te krijgen na een val, om ze vervolgens wel met een boete te confronteren voor hetgeen er gebeurd is, namelijk dat ze gevallen zijn. Zouden we dat dus niet ook moeten heroverwegen, vraag ik aan mevrouw Hertzberger. Zonder een langstudeerboete verlaag je namelijk de drempel om terug te keren naar de universiteit. Sender: mevrouw Hertzberger, message: Laat ik vooropstellen dat het grootste probleem waar deze studenten tegenaan lopen de depressie of het probleem met de mentale gezondheid zelf is. Het tweede probleem dat ook blijft bestaan, is de studiebeurs, die na de nominale studieduur afloopt. Het derde probleem is dat ze mogelijk, als ze binnen tien jaar geen diploma halen, de studiebeurs moeten terugbetalen. Wij hebben besloten dat de toelage vanuit het Rijk voor een opleiding beperkt is — dat is overigens zo in bijna de hele wereld — en dat die op een gegeven moment stopt. Daar beginnen we niet mee na afloop van de nominale studieduur, maar het jaar daarna. ",2
4,"Op zich hield mevrouw Hertzberger een pleidooi waar ik ook wel een warm hart van kreeg, maar toch snap ik even niet wat ze zei over de langstudeerboete. Deze doelgroep waar mevrouw Hertzberger het over heeft, zit in ontzettende onduidelijkheid. Welke doelgroepen vallen volgens mevrouw Hertzberger dan niet onder die langstudeerboete?","Sender: mevrouw Hertzberger, message: Laat ik vooropstellen dat het grootste probleem waar deze studenten tegenaan lopen de depressie of het probleem met de mentale gezondheid zelf is. Het tweede probleem dat ook blijft bestaan, is de studiebeurs, die na de nominale studieduur afloopt. Het derde probleem is dat ze mogelijk, als ze binnen tien jaar geen diploma halen, de studiebeurs moeten terugbetalen. Wij hebben besloten dat de toelage vanuit het Rijk voor een opleiding beperkt is — dat is overigens zo in bijna de hele wereld — en dat die op een gegeven moment stopt. Daar beginnen we niet mee na afloop van de nominale studieduur, maar het jaar daarna. Sender: de voorzitter, message: Dank voor die verheldering. Dan heeft u nog een interruptie van mevrouw Tseggai. ",2
2,"We zullen zien hoe de regering het gaat inkleden, maar in principe gaat dit over het hele stelsel, dus eigenlijk over de gehele groep studenten.","Sender: de voorzitter, message: Dank voor die verheldering. Dan heeft u nog een interruptie van mevrouw Tseggai. Sender: mevrouw Tseggai, message: Op zich hield mevrouw Hertzberger een pleidooi waar ik ook wel een warm hart van kreeg, maar toch snap ik even niet wat ze zei over de langstudeerboete. Deze doelgroep waar mevrouw Hertzberger het over heeft, zit in ontzettende onduidelijkheid. Welke doelgroepen vallen volgens mevrouw Hertzberger dan niet onder die langstudeerboete? ",4
1,Tot slot. ,"Sender: mevrouw Tseggai, message: Op zich hield mevrouw Hertzberger een pleidooi waar ik ook wel een warm hart van kreeg, maar toch snap ik even niet wat ze zei over de langstudeerboete. Deze doelgroep waar mevrouw Hertzberger het over heeft, zit in ontzettende onduidelijkheid. Welke doelgroepen vallen volgens mevrouw Hertzberger dan niet onder die langstudeerboete? Sender: mevrouw Hertzberger, message: We zullen zien hoe de regering het gaat inkleden, maar in principe gaat dit over het hele stelsel, dus eigenlijk over de gehele groep studenten. ",4
4,"Ik concludeer dan dat de groep waar mevrouw Hertzberger het over heeft daar niet onder valt en dat zij ook te maken krijgen met de langstudeerboete. Daarmee verhogen we de mentale druk op die studenten juist weer. Aan de andere kant wordt er een motie ingediend, waar ik op zich best positief tegenover sta, maar ik vind het wel een beetje dweilen met de kraan open, want het aantal studenten dat onder druk komt te staan, zal alleen maar toenemen door die langstudeerboete. Misschien kan mevrouw Hertzberger daarop reflecteren.","Sender: mevrouw Hertzberger, message: We zullen zien hoe de regering het gaat inkleden, maar in principe gaat dit over het hele stelsel, dus eigenlijk over de gehele groep studenten. Sender: de voorzitter, message: tot slot. ",2
2,"Nogmaals, we gaan zien hoe het in een regeerprogramma vorm gaat krijgen. Het is gewoon zo dat de investering van het Rijk in een opleiding stopt en eindig is. Ik wil nog heel even benadrukken dat ook wanneer er €3.000 — want daar gaat het over in het hoofdlijnenakkoord — minder naar een opleiding gaat, de rijksoverheid nog steeds veruit het grootste deel van de kosten van zo'n opleiding betaalt, ook wanneer iemand een jaar langer over zijn studie doet. Dus ja, de investering van het Rijk in de opleiding is al eindig en die wordt met de langstudeerboete, of hoe je die ook wil noemen, nog iets eindiger.","Sender: de voorzitter, message: tot slot. Sender: mevrouw Tseggai, message: Ik concludeer dan dat de groep waar mevrouw Hertzberger het over heeft daar niet onder valt en dat zij ook te maken krijgen met de langstudeerboete. Daarmee verhogen we de mentale druk op die studenten juist weer. Aan de andere kant wordt er een motie ingediend, waar ik op zich best positief tegenover sta, maar ik vind het wel een beetje dweilen met de kraan open, want het aantal studenten dat onder druk komt te staan, zal alleen maar toenemen door die langstudeerboete. Misschien kan mevrouw Hertzberger daarop reflecteren. ",4
1,Dank u wel. Dan dank ik u voor uw inbreng namens Nieuw Sociaal Contract en vraag ik mevrouw Martens-America om naar voren te komen om haar inbreng te doen namens de VVD.,"Sender: mevrouw Tseggai, message: Ik concludeer dan dat de groep waar mevrouw Hertzberger het over heeft daar niet onder valt en dat zij ook te maken krijgen met de langstudeerboete. Daarmee verhogen we de mentale druk op die studenten juist weer. Aan de andere kant wordt er een motie ingediend, waar ik op zich best positief tegenover sta, maar ik vind het wel een beetje dweilen met de kraan open, want het aantal studenten dat onder druk komt te staan, zal alleen maar toenemen door die langstudeerboete. Misschien kan mevrouw Hertzberger daarop reflecteren. Sender: Mevrouw Hertzberger, message: Nogmaals, we gaan zien hoe het in een regeerprogramma vorm gaat krijgen. Het is gewoon zo dat de investering van het Rijk in een opleiding stopt en eindig is. Ik wil nog heel even benadrukken dat ook wanneer er €3.000 — want daar gaat het over in het hoofdlijnenakkoord — minder naar een opleiding gaat, de rijksoverheid nog steeds veruit het grootste deel van de kosten van zo'n opleiding betaalt, ook wanneer iemand een jaar langer over zijn studie doet. Dus ja, de investering van het Rijk in de opleiding is al eindig en die wordt met de langstudeerboete, of hoe je die ook wil noemen, nog iets eindiger. ","2, 5"
5,"Dank u wel, voorzitter. Als liberaal ben ik ervan overtuigd dat de ruimte voor persoonlijke groei en ontwikkeling en het nastreven hiervan een groot succes is en verdedigd moet worden. De kans om excellentie na te streven en hier een beloning voor te krijgen, is belangrijk. Het maakt natuurlijk niet uit of dit nu een theoretische master betreft, een mbo-opleiding of de erkenning voor het maken van mooie meubels. Het debat van de afgelopen week over de mentale gezondheid mag wat de VVD betreft ook geen argument zijn om verdere nivellering in ons onderwijs af te dwingen. Als de opties die hier regelmatig langskomen realiteit worden — ik noem het afschaffen van het predicaat excellentie of zelfs een scriptie — ontneemt dat eenieder in ons openbare onderwijssysteem de kans om te excelleren. Het bereiken van het predicaat excellent zal dan enkel voorbehouden zijn aan mensen met een dikke portemonnee door een stage in het buitenland te lopen of aan mensen met een heel sterk netwerk. Volgens mij is dat alles wat we in dit huis niet moeten willen. Daarom dien ik de volgende motie in.
De Kamer,gehoord de beraadslaging,
overwegende dat het nastreven van excellentie een persoonlijke vrijheid zou moeten zijn;
overwegende dat het behalen van de erkenning voor het excellent afronden van een opleiding (of een onderdeel daarvan), of dit nu mbo, hbo of wo betreft, mogelijk moet blijven en niet mag worden gebruikt om nivellering in ons onderwijs af te dwingen;
verzoekt de regering onderwijsinstellingen op te roepen dat prestatiegerichte onderscheidingen (zoals honoursprogramma's of cum laude) toegankelijk moeten blijven voor studenten in ons onderwijssysteem,
en gaat over tot de orde van de dag.","Sender: Mevrouw Hertzberger, message: Nogmaals, we gaan zien hoe het in een regeerprogramma vorm gaat krijgen. Het is gewoon zo dat de investering van het Rijk in een opleiding stopt en eindig is. Ik wil nog heel even benadrukken dat ook wanneer er €3.000 — want daar gaat het over in het hoofdlijnenakkoord — minder naar een opleiding gaat, de rijksoverheid nog steeds veruit het grootste deel van de kosten van zo'n opleiding betaalt, ook wanneer iemand een jaar langer over zijn studie doet. Dus ja, de investering van het Rijk in de opleiding is al eindig en die wordt met de langstudeerboete, of hoe je die ook wil noemen, nog iets eindiger. Sender: de voorzitter, message: Dank u wel. Dan dank ik u voor uw inbreng namens Nieuw Sociaal Contract en vraag ik mevrouw Martens-America om naar voren te komen om haar inbreng te doen namens de VVD.",18
1,"Deze motie is voorgesteld door het lid Martens-America.
Zij krijgt nr. 1139 (31288).
Dank u wel. U krijgt daar nog een vraag over van mevrouw Tseggai, namens GroenLinks-PvdA.","Sender: de voorzitter, message: Dank u wel. Dan dank ik u voor uw inbreng namens Nieuw Sociaal Contract en vraag ik mevrouw Martens-America om naar voren te komen om haar inbreng te doen namens de VVD. Sender: Mevrouw Martens-America, message: Dank u wel, voorzitter. Als liberaal ben ik ervan overtuigd dat de ruimte voor persoonlijke groei en ontwikkeling en het nastreven hiervan een groot succes is en verdedigd moet worden. De kans om excellentie na te streven en hier een beloning voor te krijgen, is belangrijk. Het maakt natuurlijk niet uit of dit nu een theoretische master betreft, een mbo-opleiding of de erkenning voor het maken van mooie meubels. Het debat van de afgelopen week over de mentale gezondheid mag wat de VVD betreft ook geen argument zijn om verdere nivellering in ons onderwijs af te dwingen. Als de opties die hier regelmatig langskomen realiteit worden — ik noem het afschaffen van het predicaat excellentie of zelfs een scriptie — ontneemt dat eenieder in ons openbare onderwijssysteem de kans om te excelleren. Het bereiken van het predicaat excellent zal dan enkel voorbehouden zijn aan mensen met een dikke portemonnee door een stage in het buitenland te lopen of aan mensen met een heel sterk netwerk. Volgens mij is dat alles wat we in dit huis niet moeten willen. Daarom dien ik de volgende motie in.
De Kamer,gehoord de beraadslaging,
overwegende dat het nastreven van excellentie een persoonlijke vrijheid zou moeten zijn;
overwegende dat het behalen van de erkenning voor het excellent afronden van een opleiding (of een onderdeel daarvan), of dit nu mbo, hbo of wo betreft, mogelijk moet blijven en niet mag worden gebruikt om nivellering in ons onderwijs af te dwingen;
verzoekt de regering onderwijsinstellingen op te roepen dat prestatiegerichte onderscheidingen (zoals honoursprogramma's of cum laude) toegankelijk moeten blijven voor studenten in ons onderwijssysteem,
en gaat over tot de orde van de dag. ","18, 5"
4,Ik zou denken dat financiële stress ook best wel vervelend is als je probeert te excelleren. Hoe denkt mevrouw Martens-America over zo'n langstudeerboete of verlaging van de basisbeurs?,"Sender: Mevrouw Martens-America, message: Dank u wel, voorzitter. Als liberaal ben ik ervan overtuigd dat de ruimte voor persoonlijke groei en ontwikkeling en het nastreven hiervan een groot succes is en verdedigd moet worden. De kans om excellentie na te streven en hier een beloning voor te krijgen, is belangrijk. Het maakt natuurlijk niet uit of dit nu een theoretische master betreft, een mbo-opleiding of de erkenning voor het maken van mooie meubels. Het debat van de afgelopen week over de mentale gezondheid mag wat de VVD betreft ook geen argument zijn om verdere nivellering in ons onderwijs af te dwingen. Als de opties die hier regelmatig langskomen realiteit worden — ik noem het afschaffen van het predicaat excellentie of zelfs een scriptie — ontneemt dat eenieder in ons openbare onderwijssysteem de kans om te excelleren. Het bereiken van het predicaat excellent zal dan enkel voorbehouden zijn aan mensen met een dikke portemonnee door een stage in het buitenland te lopen of aan mensen met een heel sterk netwerk. Volgens mij is dat alles wat we in dit huis niet moeten willen. Daarom dien ik de volgende motie in.
De Kamer,gehoord de beraadslaging,
overwegende dat het nastreven van excellentie een persoonlijke vrijheid zou moeten zijn;
overwegende dat het behalen van de erkenning voor het excellent afronden van een opleiding (of een onderdeel daarvan), of dit nu mbo, hbo of wo betreft, mogelijk moet blijven en niet mag worden gebruikt om nivellering in ons onderwijs af te dwingen;
verzoekt de regering onderwijsinstellingen op te roepen dat prestatiegerichte onderscheidingen (zoals honoursprogramma's of cum laude) toegankelijk moeten blijven voor studenten in ons onderwijssysteem,
en gaat over tot de orde van de dag. Sender: de voorzitter, message: Deze motie is voorgesteld door het lid Martens-America.
Zij krijgt nr. 1139 (31288).
Dank u wel. U krijgt daar nog een vraag over van mevrouw Tseggai, namens GroenLinks-PvdA. ",5
5,"Dank voor deze vraag. Nogmaals, ik denk dat we heel voorzichtig moeten zijn om het een met het ander te vergelijken. Wat ik hier probeer aan te geven, is een vrijheid, een vrijheid van het individu binnen ons onderwijs. Als we dat soort prikkels weghalen in het weerbaar maken van deze jonge studenten, dan ben ik bang dat dat er uiteindelijk niet aan bijdraagt dat iedereen de ruimte heeft om te excelleren. Ik snap dat mevrouw Tseggai het hoofdlijnenakkoord wil gebruiken om eenieder in de coalitie die hier gaat staan, deze vraag te stellen. Ik ga erop antwoorden. Dat ga ik heel duidelijk doen. Ik ben niet van mening, mijn partij is niet van mening, dat deze €3.000 een boete is. We hebben het hier over het feit dat je een jaar na het uitlopen zelf een iets hogere bijdrage levert in verhouding tot wat de overheid bijdraagt aan het afronden van je opleiding. Waar mevrouw Tseggai en ik elkaar waarschijnlijk wel in kunnen vinden, is dat het er aan de voorkant nooit voor mag zorgen dat mensen uitvallen. We moeten er dus voor zorgen dat het geen drempel wordt voor het afmaken van een opleiding.","Sender: de voorzitter, message: Deze motie is voorgesteld door het lid Martens-America.
Zij krijgt nr. 1139 (31288).
Dank u wel. U krijgt daar nog een vraag over van mevrouw Tseggai, namens GroenLinks-PvdA. Sender: mevrouw Tseggai, message: Ik zou denken dat financiële stress ook best wel vervelend is als je probeert te excelleren. Hoe denkt mevrouw Martens-America over zo'n langstudeerboete of verlaging van de basisbeurs., ",4
1,Tot slot op dit punt.,"Sender: mevrouw Tseggai, message: Ik zou denken dat financiële stress ook best wel vervelend is als je probeert te excelleren. Hoe denkt mevrouw Martens-America over zo'n langstudeerboete of verlaging van de basisbeurs., Sender: mevrouw Martens-America, message: Dank voor deze vraag. Nogmaals, ik denk dat we heel voorzichtig moeten zijn om het een met het ander te vergelijken. Wat ik hier probeer aan te geven, is een vrijheid, een vrijheid van het individu binnen ons onderwijs. Als we dat soort prikkels weghalen in het weerbaar maken van deze jonge studenten, dan ben ik bang dat dat er uiteindelijk niet aan bijdraagt dat iedereen de ruimte heeft om te excelleren. Ik snap dat mevrouw Tseggai het hoofdlijnenakkoord wil gebruiken om eenieder in de coalitie die hier gaat staan, deze vraag te stellen. Ik ga erop antwoorden. Dat ga ik heel duidelijk doen. Ik ben niet van mening, mijn partij is niet van mening, dat deze €3.000 een boete is. We hebben het hier over het feit dat je een jaar na het uitlopen zelf een iets hogere bijdrage levert in verhouding tot wat de overheid bijdraagt aan het afronden van je opleiding. Waar mevrouw Tseggai en ik elkaar waarschijnlijk wel in kunnen vinden, is dat het er aan de voorkant nooit voor mag zorgen dat mensen uitvallen. We moeten er dus voor zorgen dat het geen drempel wordt voor het afmaken van een opleiding. ",4
