order,sender,message,receiver
16,4,Vindt de minister niet dat we veel steviger zouden moeten inzetten op het verlagen van de lasten op arbeid? Want dan houden werknemers langs die weg meer geld over in de portemonnee. Kunnen we op dat terrein ook concrete voorstellen van dit kabinet tegemoetzien?,3
17,3,"Dank aan de heer Van Dijk voor de vraag. Wij zijn daar zeker mee bezig. We hebben het ondernemingsklimaat hoog op de prioriteitenagenda staan, zoals u weet. Alle bouwstenen zijn daar een onderdeel van. Uiteraard is het voor bedrijven beter om minder lasten te ervaren, zodat er meer overblijft om bijvoorbeeld te investeren. Maar dat is natuurlijk niet zo eenvoudig. Daarover lopen veel gesprekken. Er zijn ook zaken die bedrijven daar zelf in kunnen doen, bijvoorbeeld als het gaat om het verbeteren van de productiviteit. Uiteindelijk drukt dat ook de personele lasten. Daar is de overheid niet per se voor nodig. Maar het is een terecht punt. Het is iets wat we serieus nemen. We hebben niet voor niets dingen in het regeerprogramma opgeschreven over het ondernemingsklimaat. Daar gaan we de komende jaren ook verder invulling aan geven.",4
18,4,Goed dat de minister hiervoor openstaat en dat hij daaraan wil werken. Kan hij nog iets ambitieuzer zijn door mij een bepaald tijdpad te geven? Wanneer zouden we dergelijke voorstellen vanuit het kabinet tegemoet kunnen zien?,3
19,3,"Dit is een ongoing process, zoals we dat noemen, waarbij alle andere vakministers ook betrokken zijn, zoals die van SZW. Daar hebben we nu geen vastomlijnd programma voor liggen. We doen dat op bepaalde deelonderwerpen wel, bijvoorbeeld met de brief die naar de Kamer is gestuurd over regeldruk. We doen dat op deelgebieden dus wel. Op specifiek het onderdeel lastenverlichting, dat u noemt, zijn we nog niet zo ver. Daar kan ik dus ook geen termijn aan koppelen.",4
20,4,"Volgens de SP-fractie verdient het onderwerp prijsstijgingen en inflatie eigenlijk een groter debat in deze Kamer; daar komen wij later op terug. De prijs van een half brood is in twee jaar tijd met 25,1% gestegen. De prijs van een pak halfvolle yoghurt is in twee jaar tijd met 27% gestegen. Een zak bospenen? 28%! Een klein bakje aardbeien? 37%! Mensen die iedere dag of een keer in de week naar de supermarkt gaan, betalen zich helemaal scheel. De context is: loon, prijs, winst. De simpele vraag is dan: heeft de minister enigszins een idee van de prijsontwikkeling van deze producten?",3
21,3,"Ja, dat hebben we. We hebben dat niet voor specifiek alle producten, meneer Van Dijk, maar we hebben het wel. Wat brood betreft weten we dat de enorme toename van energiekosten en dergelijke een enorme impuls heeft betekend, zowel voor bakkers die op gas bakken als voor bakkers die op elektriciteit bakken, zoals tegenwoordig veel gebeurt. Ook de eerdere beslissingen om het wettelijk minimumloon in korte tijd redelijk snel op te laten volgen en te verhogen hebben een prijsopdrijvend effect gehad. Het is dus vaak een mix van inkoop, inflatie en goedkoper gas, waar we niet meer aan kunnen komen. Een mix van al dit soort zaken maakt dat de producten duurder zijn geworden. Dat geldt niet alleen voor levensmiddelen, maar ook voor producten als elektronica en dergelijke.",4
22,4,"Het is leuk dat deze minister zulke veronderstellingen neerzet, maar ik noem net niet voor niets die producten. Dat zijn basisproducten die mensen nodig hebben in hun levensonderhoud: eten, voedsel. Ik noem bewust deze vier dingen, maar ik kan er ook vlees aan toevoegen: een pakje gehakt is met 24% gestegen. Ik noem ze dus bewust. Het zijn basisproducten die mensen iedere dag nodig hebben om gezond te kunnen leven. Maar deze minister heeft helemaal geen idee van de prijsvorming van deze producten. Hij zegt het wel, maar er is geen toezicht en geen controle. U weet niet welk deel van de prijs van een zak bosbessen wordt bepaald door winst, lonen of grondstoffen. Dat weet u niet, omdat er geen controle op is. De volgende vraag is heel relevant geworden en werd eerder gesteld aan de minister-president, die er geen antwoord op had, namelijk: als het IMF en de ECB zeggen dat het een winstprijsspiraal is, vindt deze minister dan niet dat het tijd wordt om prijzen te gaan blokkeren en te gaan controleren?",3
23,3,"Dank. Laat ik beginnen met tegen de heer Dijk te zeggen dat ik de zorg begrijp. Ik begrijp echt dat je als je bij de kassa staat met basisproducten, niet eens luxeproducten, en je afrekent, je echt een ongeluk schrikt. Dus dat onderschrijf ik direct. Wat ik wilde aangeven, is dat we als overheid ook niet de rol hebben om op productniveau of brancheniveau te gaan interveniëren. Dat kan pas bij zeer uitzonderlijke omstandigheden of als we zien dat er echt sprake is van marktfalen, en daar moeten autoriteiten, zoals de ACM, dan ook signalen van geven. Op dit moment is er geen sprake van excessieve zaken die overheidsingrijpen nodig maken. Dat is ook niet de rol die ons op dit moment past. Wat het kabinet wel doet, is kijken naar de koopkracht. Daar hebben we een pakket voor neergelegd, waarmee alle Nederlanders er volgend jaar op vooruitgaan. Dat is uiteindelijk waar je de boodschappen mee betaalt. Dat zijn de knoppen waar we als kabinet aan draaien, waar we op kunnen sturen.",4
24,1,Prima. Tot zover dit onderwerp. Dank aan de minister.,"15, 3"
25,1,"We verwelkomen de minister van Infrastructuur en Waterstaat. Fijn u weer te zien. Dan zou ik graag het woord geven aan mevrouw Rooderkerk van D66, maar die is er niet. We wachten even op mevrouw Rooderkerk. Ze schijnt eraan te komen. Het woord is aan mevrouw Rooderkerk.","15, 5"
26,5,"Voorzitter. Terwijl twee ministers ruziën over de verduurzaming van de industrie raken de klimaatdoelen steeds verder uit het zicht, zo lazen wij dit weekend in de krant. De gevolgen van klimaatverandering zijn al goed merkbaar in Nederland, met hogere prijzen voor boodschappen, maar ook verder van huis, zoals de overstromingen in Valencia. Een sleutelrol in het tegengaan van klimaatverandering ligt bij het verduurzamen van de industrie, maar in plaats van dat onze industrie wordt geholpen, is er chaos. We zien ruziënde ministers en bezuinigingen op onderwijs en innovatie, zoals waterstof en batterijen, met als resultaat dat bedrijven straks niet verduurzamen, maar vertrekken. Er liggen miljarden klaar om deze bedrijven te helpen, maar na vier jaar onderhandelen is er nog steeds geen concreet resultaat bereikt met maatwerkafspraken met bedrijven. Dat noopt mij tot de eerste vraag. Vindt minister Madlener het erg dat de klimaatdoelen steeds verder uit het zicht raken op deze manier?",6
27,1,Dank u wel. Dan kan de heer Madlener even beginnen met te vertellen dat hij een aantal bewindspersonen vervangt.,"5, 6"
28,6,"Ja, voorzitter, dat klopt. De minister van KGG, mevrouw Hermans, is niet in staat om hier te zijn op dit moment. Die vervang ik. Ik vervang ook de staatssecretaris van IenW, want die gaat hier eigenlijk over. Ik doe dat met veel plezier. In antwoord op de vraag kan ik natuurlijk zeggen dat het kabinet voortvarend bezig is met verduurzaming van bedrijven. Voor de twintig grootste bedrijven proberen we echt een maatwerkaanpak te bewerkstelligen en inmiddels hebben dertien van die twintig bedrijven een intentieverklaring vastgelegd. De uitwerking daarvan in concrete maatwerkafspraken kost natuurlijk wel tijd. Het gaat om zeer grote investeringen voor de lange termijn en in een zeer dynamische context. De omstandigheden zijn er de afgelopen twee jaar ook niet bepaald makkelijker op geworden — de energieprijzen, de internationale concurrentie, de Inflation Reduction Act en ga zo maar door — maar het kabinet gaat wel onverminderd door om duurzame investeringen in de industrie in Nederland mogelijk te maken. En inderdaad, die maatwerkaanpak is daarvoor cruciaal. De Kamer wordt dan ook ieder halfjaar geïnformeerd over de voortgang van deze aanpak, de laatste keer in de voortgangsbrief verduurzaming industrie van 14 oktober. U heeft hierover een debat gehad met de minister van KGG. Dan ...",5
29,1,KGG is Klimaat en Groene Groei.,6
30,6,"Klimaat en Groene Groei, met minister Hermans. Er is ook een debat geweest over de concrete acties. Er wordt, behalve naar de CO2-uitstoot, ook gekeken naar andere mogelijkheden om de uitstoot van die bedrijven te verminderen. Dat wordt in één pakket gedaan. Dat is slim. Dat kun je ook terugzien in de Expressions of Principles; dat zijn de afspraken die gemaakt zijn. Zo hebben de meeste bedrijven, naast de ambitie om de CO2-uitstoot terug te dringen, ook ambities om stikstofemissies terug te dringen. In de praktijk wordt in ieder geval per geval gezocht naar een werkbare oplossing. Om de concrete vraag te beantwoorden: hoe liggen we op schema? Binnenkort kunt u de eerste uitwerking van zo'n overeenkomst verwachten. In de loop van volgend jaar volgen er nog meer. Over een aantal maanden krijgt u natuurlijk de gebruikelijke terugkoppeling van hoe het ermee staat en het halfjaarlijkse debat over de stand van zaken.",5
31,5,"Dank aan de heer Madlener voor dit antwoord, maar het was natuurlijk geen antwoord op mijn vraag. Het gaat niet alleen om de klimaatdoelen die we niet halen met dit beleid; het gaat ook om wat klimaatverandering betekent voor mensen. Het weer wordt bijvoorbeeld steeds extremer. Kijk maar naar de overstromingen in Valencia. Trekt de heer Madlener zich dit aan?",6
32,6,"Het kabinet trekt zich dit in zoverre aan dat we bezig zijn met een grote verduurzamingsslag. Dat kost tijd, maar dat gaat wel de goede kant op. Inmiddels hebben dertien van de twintig grootste uitstoters in Nederland dus al zo'n afspraak gemaakt over hoe ze dat gaan doen de komende tijd. Met een aantal bedrijven worden nog onderhandelingen gevoerd. Je ziet dus wel concrete resultaten. Die komen er zeker aan. Ik wil overigens nog wel het volgende melden. Het was de bedoeling dat 2030 een mijlpijl werd, de echte start van de resultaten. Dat zal niet door ieder bedrijf worden gehaald, maar door de meeste wel. In die zin verwachten we daar goede resultaten van.",5
33,5,"Dit klinkt allemaal vrij rooskleurig uit de mond van iemand van de PVV. Maar er ligt nog geen enkele concrete maatwerkafspraak. Die deadline van 2030 wordt kennelijk ook nog eens deels losgelaten, als ik het goed begrijp. Twee weken geleden zei hij in het debat over water en overstromingen dat hij nog niet zo zeker wist of klimaatverandering wel bestaat. Hij noemde het een theorie waar we kritisch op mogen zijn. Ook zei hij in deze context dat iedereen zijn eigen complottheorie heeft. Deze uitspraken zijn eigenlijk gewoon klimaatontkenning. Is dat dan ook kabinetsbeleid?",6
34,6,"In de discussie over klimaatbeleid zijn er natuurlijk vele meningen. Het klimaatbeleid van het kabinet is helder, namelijk de CO2-uitstoot terugdringen en de doelen van Parijs halen. In het debat waar u aan refereert, zeg ik via de voorzitter, ging het over de vraag: mag je nog een andere mening hebben in dit land? Daarop was mijn antwoord: ja, dat mag zeker. Ook in de wetenschappelijke discussie over klimaatbeleid is de wetenschap nog niet zo ver gevorderd dat ze het klimaat helemaal doorgronden. Er zijn allerlei scenario's en onzekerheden. Daar heb ik op gedoeld. Ik denk dat het heel gezond is om in die discussie ruimte te geven aan verschillende meningen en niet te vervallen in ""die mening mag jij niet hebben"". Klimaatwetenschap is nog niet helemaal uitgekristalliseerd. Daar heb ik op gedoeld. Zonder overigens te ontkennen dat het klimaat verandert.",5
35,5,"Daar gaan we weer met die glijdende schaal. Iedereen heeft recht op zijn eigen mening, maar niet op zijn eigen feiten. De wetenschap is er heel duidelijk over dat klimaatverandering zeer ernstig is. Ik had eigenlijk verwacht een debat te hebben met de minister van Klimaat, maar kennelijk heb ik nu een debat met de minister van klimaatontkenning. Ik zie dat er chaos in het kabinet is ontstaan en dat er kennelijk ook tussen kabinetsleden onderling verdeeldheid is over zoiets cruciaals als het aanpakken van de klimaatcrisis. Dat sijpelt dus ook door naar die maatwerkafspraken. Is de heer Madlener van plan om een been bij te trekken om ervoor te zorgen dat we daadwerkelijk met minimaal één maatwerkafspraak eindigen komend jaar?",6
36,6,"Ik heb net gezegd: het kabinet is helemaal niet verdeeld. Wij richten ons op de afspraken die er zijn. Die hebben we in stand gelaten en daar werken we hard aan. Inmiddels hebben dertien van de twintig grootste uitstoters een intentieverklaring getekend. Die worden nu uitgewerkt. De Kamer kan binnenkort, binnen een paar maanden, al de eerste uitwerking verwachten. Ik verwacht dat de rest daarna volgt. Over een aantal maanden heeft u weer een groot debat in de Kamer over de stand van zaken. Het kabinet werkt hard om dat allemaal mogelijk te maken.",5
37,5,"Die intenties zijn natuurlijk helemaal mooi. Het is ook heel goed dat we die aanpak hebben, dat we tegen bedrijven zeggen ""we hebben 3 miljard op de plank liggen om jullie te helpen verduurzamen"", zodat we die bedrijven ook kunnen behouden voor onze economie. Maar we zien nu dat die bedrijven zelf aangeven dat het niet opschiet, dat het verzandt in discussies tussen ministeries. Op deze manier komen we tot geen enkele afspraak. Yara wil dat graag, Nobian wil dat graag. Er zijn genoeg bedrijven die dit willen, maar ze lopen vast bij de ministeries en ook bij deze minister. Wat gaat hij daar nou concreet aan doen?",6
38,6,"We sluiten dus intentieverklaringen af met ongeveer twintig bedrijven, de grootste vervuilers. Dat lijkt mij een goede start. Er zijn er inmiddels dertien afgesloten. Het gaat om maatwerkafspraken. Dat betekent dat je bij ieder bedrijf tot andere afspraken komt. Dat betekent ook dat je spreekt met elkaar, ook tussen ministeries, over wat die doelen nou worden. Het is dan helemaal niet gek dat je bij het maken van die afspraken in discussie raakt met elkaar. Maar het kabinet gaat hierin gezamenlijk optrekken. We trekken hierin ook gezamenlijk op. Het gaat dus wel gepaard met discussie, maar zeker niet met onderling geruzie. We komen daar prima uit. Dat kan ik u zeggen namens zowel mevrouw Hermans als Chris de staatssecretaris.",5
39,1,Chris de staatssecretaris.,6
40,6,Chris de staatssecretaris.,1
41,5,"Nou ja, kijk, of je het nou ""geruzie"" of ""een discussie"" noemt, het resultaat na vier jaar is dat er nog steeds geen concrete maatwerkafspraak is. Nu hoor ik de minister zeggen: die komt er echt; de intentie is er wel. Dan over het loslaten van het 2030-doel. Waarom doen we dit allemaal? Opdat bedrijven sneller gaan verduurzamen. Op het moment dat je dat loslaat, is het alsof de heer Madlener met 130 op de snelweg wil rijden maar de handrem erop heeft staan. Op die manier zorgen we niet voor vergroening van de economie. Wat gaat hij nou doen om ervoor te zorgen dat dit verbetert? Heeft het nog wel zin als we alles de hele tijd blijven uitstellen?",6
42,6,"Ik heb net proberen uit te leggen dat er niets uitgesteld wordt. Van de twintig grootste uitstoters hebben dertien bedrijven inmiddels intentieovereenkomsten getekend. Nou, dat is een hele prestatie. Dat betekent namelijk dat die dertien bedrijven aan de slag gaan om maatregelen te treffen. De eerste uitgewerkte afspraak kunt u binnen enkele maanden verwachten. Dan kunt u er ook inhoudelijk over spreken. Zo gaan we verder op het pad van verduurzaming van die grootste uitstoters. Dat lijkt mij enorme winst. Ik begrijp dan ook niet zo goed waarom de vraagsteller hier zo veel vraagtekens bij heeft.",5
43,5,"Omdat ik die intenties al heel lang hoor. Die zijn er aan alle kanten. Dan krijgen we straks misschien één afspraak. Nou, dat zou heel mooi zijn, maar na vier jaar vind ik dat een wat mager resultaat. Het uitstel zit in dat 2030-doel. Het doel was: bedrijven, jullie moeten voor dat jaartal sneller verduurzamen en daarom kunnen we jullie hiervoor geld geven. Nu hoor ik de heer Madlener zeggen — dat bevestigt hij net ook — dat hij dat loslaat. Het kan dus ook gaan over later dan 2030. Waar zijn we dan mee bezig?",6
44,6,"Dat is niet juist. Ik heb gezegd dat we nog steeds inzetten op 2030, maar dat het maatwerkafspraken zijn en dat het zou kunnen dat er ook maatwerkafspraken zijn die iets later dan 2030 ingaan. Maar 2030 blijft het doel van het kabinet als het gaat om de maatregelen.",5
45,1,30 seconden voor de heer Thijssen.,2
46,2,"De klimaatwetenschap is kristalhelder. Een keer in de vijf jaar komen alle klimaatwetenschappers onder de vlag van de VN bij elkaar. Zij concluderen: de mens veroorzaakt klimaatverandering. De secretaris-generaal van de Verenigde Naties zegt: we zijn op weg naar een klimaathel. Deze minister staat hier in vak K te verkondigen dat er allerlei verschillende inzichten zijn over klimaat: ""we moeten nog maar 'ns kijken"". Hij staat hier twijfel te zaaien over de grootste uitdaging die de mensheid voor zich heeft. Ik wil dat de minister in dit vragenuur die woorden terugneemt en gewoon erkent: klimaatverandering bestaat, het komt door de mens en we moeten kei- en keihard knokken om onze planeet leefbaar te houden.",6
47,6,"Ik heb de wetenschap niet in mijn binnenzak zitten. De wetenschap bestaat uit al die wetenschappers die ermee bezig zijn en de meningen hierover zijn nog steeds verdeeld. Ik zie helemaal niet in wat daar mis mee is. De wetenschap doet haar werk. De klimaatwetenschap is ook nog niet zo ver uitgekristalliseerd. Daarom wordt er ook met grote bandbreedtes gewerkt, omdat er onzekerheden zijn. Om dan nu net te doen alsof die onzekerheden er niet zijn, lijkt me afbreuk doen aan de werkelijkheid.",2
48,7,"Het is duidelijk dat de minister doet alsof er helemaal niks aan de hand is met de maatwerkafspraken en het allemaal heel goed gaat, terwijl we in het NRC-artikel kunnen lezen dat het één grote chaos is op het ministerie van IenW, op het ministerie van EZK en bij die bedrijven. We komen zo geen stap vooruit met de verduurzaming, maar de belastingbetaler moet er wel miljarden in steken om die bedrijven te helpen. Mijn vraag aan de minister is heel helder: waarom gaan we door op dit heilloze pad? Waarom zouden wij als belastingbetalers miljarden in bedrijven steken die al jarenlang schade veroorzaken, en dat nog steeds doen, aan de gezondheid van mensen en aan het klimaat? Denk aan Tata Steel, dat kanker veroorzaakt bij omwonenden door zijn uitstoot. Denk aan Chemours en aan pfas, dat steeds meer in onze leefomgeving is. Het zijn bedrijven die jarenlang willens en wetens schade veroorzaken. En wij moeten nu miljarden ertegenaan blijven gooien terwijl het een chaos is. Leg me dat eens uit.",6
49,6,"Dat doen wij omdat we heel veel belang hechten aan de welvaart die ook die twintig bedrijven geven aan de Nederlandse economie. We moeten daar toch zuinig op zijn. Maar we willen wel dat ze verduurzamen. Ze zitten ook in een internationaal speelveld. Het gaat hier zonder uitzondering om internationale bedrijven. We moeten natuurlijk wel zorgen dat we die niet Nederland uit jagen, maar dat we ze helpen met verduurzamen. En dat is precies waar we mee bezig zijn. Dat gaat behoorlijk snel, moet ik zeggen, want inmiddels hebben dertien van die twintig bedrijven dus al een intentieverklaring getekend. Dat gaat uit van maatregelen die in 2030 ingaan. Ik denk dat dit grote stappen zijn die we genomen hebben. Op die lijn gaan we ook door. Binnenkort kunt u weer in discussie met de minister die hiervoor verantwoordelijk is.",7
50,7,"Het is alsof het kabinet zwaarverslaafde rokers aan het subsidiëren is, want ze veroorzaken schade en het is heel duur. Tegelijk is het gewoon ook heel oneerlijk. Het is oneerlijk voor al die duurzame bedrijven. Er gaan recyclingbedrijven failliet; er gaan reparatiebedrijven failliet. Als de minister, het kabinet, het heeft over een gelijk speelveld, hoe rechtvaardigt de minister het dan dat wij miljarden aan deze verslaafde vervuilers geven, terwijl duurzame bedrijven hier geen kans maken?",6
51,6,"Om hier te doen alsof die bedrijven geen bestaansrecht zouden hebben: wij zijn allemaal klant van die bedrijven, want wij gebruiken al die spullen die die bedrijven maken. Dat gaat van kunststof tot kunstmest en andere zaken. Die bedrijven zijn hard nodig in de hele economie. Met de bedrijven Nederland uit jagen schieten we natuurlijk ook niet veel op, want vervolgens kunnen wij die spullen importeren en zijn we met z'n allen wat armer geworden. Ik denk dat het een hele verstandige weg is om die bedrijven te helpen met verduurzamen en ze toch te behouden voor de Nederlandse economie. Ik denk dat dit een hele goede lijn is, waar het kabinet voor gaat.",7
